feature,importance
matchup_weighted_point_diff,0.057353787
matchup_elo_diff,0.04061418
matchup_rolling_win_pct_diff,0.038001273
away_rolling_games_played,0.036004793
conference_game,0.02179229
matchup_rolling_point_diff,0.017462602
away_rolling_points_scored,0.016941804
matchup_away_off_vs_home_def_sp,0.016510552
away_rolling_weighted_points_scored,0.015631465
matchup_recruiting_diff,0.015402895
betting_spread,0.014928323
home_rolling_weighted_points_allowed,0.011245451
matchup_sp_diff,0.01027083
betting_over_under,0.010029512
home_rolling_points_allowed,0.009196583
home_rolling_games_played,0.008585256
matchup_srs_diff,0.0076836576
away_rolling_total_points,0.0076478003
home_rolling_home_points_allowed,0.0072051194
home_rolling_total_points,0.006770448
matchup_fpi_diff,0.0067059295
away_rolling_away_points_scored,0.006587746
away_rolling_wins,0.006232618
week,0.0060859476
home_rolling_wins,0.006017907
home_sp_defense,0.0058159214
home_defense_success_rate,0.0057904427
neutral_site,0.0057415976
away_rolling_home_points_scored,0.0057347678
away_rolling_home_games,0.005701949
matchup_streak_diff,0.0056291874
home_rolling_home_games,0.005606332
home_rolling_loss_streak,0.0056018657
away_rolling_away_wins,0.005557131
home_elo_rating,0.00550558
home_sp_rating,0.0054449523
home_srs_ranking,0.005406916
home_rolling_win_streak,0.005293196
home_sp_ranking,0.0052781734
away_sp_rating,0.0052754027
away_srs_ranking,0.005251349
away_fpi_rating,0.0052333702
home_recruiting_rank,0.0051905536
home_defense_ppa,0.005188992
home_rolling_away_points_allowed,0.0051436927
home_srs_rating,0.0050649038
away_rolling_home_points_allowed,0.0050460063
away_offense_standard_downs_success_rate,0.005002321
home_defense_standard_downs_ppa,0.004964632
away_rolling_weighted_points_allowed,0.00496068
home_defense_open_field_yards,0.004942824
away_offense_ppa,0.0049391612
home_rolling_weighted_point_diff,0.0049267514
away_rolling_points_allowed,0.004925146
home_rolling_away_wins,0.004924411
away_rolling_away_games,0.004878757
away_rolling_weighted_point_diff,0.004877594
home_recruiting_points,0.0048737433
away_offense_standard_downs_ppa,0.004847001
home_rolling_away_points_scored,0.004834966
matchup_away_success_vs_home_def_success,0.004831326
home_fpi_rating,0.0048250128
home_rolling_home_points_scored,0.004803151
home_defense_standard_downs_success_rate,0.00480112
away_defense_standard_downs_ppa,0.0047935196
home_rolling_weighted_points_scored,0.0047934707
away_rolling_win_pct,0.004782422
away_offense_passing_plays_success_rate,0.004775652
home_defense_passing_downs_success_rate,0.0047665862
away_recruiting_rank,0.004766274
home_offense_passing_plays_success_rate,0.004763962
away_offense_rushing_plays_ppa,0.004743084
away_rolling_point_diff,0.004740977
away_recruiting_points,0.004703357
matchup_home_explosiveness_vs_away_def,0.0046926057
home_defense_rushing_plays_ppa,0.004692209
away_defense_passing_downs_success_rate,0.004680992
away_elo_rating,0.0046737036
away_sp_ranking,0.004667478
away_offense_explosiveness,0.0046660653
away_offense_success_rate,0.004665323
away_offense_stuff_rate,0.0046594455
matchup_home_success_vs_away_def_success,0.0046514035
away_defense_rushing_plays_success_rate,0.0046358984
home_defense_line_yards,0.0046357024
away_offense_line_yards,0.0046325563
away_sp_special_teams,0.0046095243
away_sp_defense,0.0046080556
away_defense_passing_plays_success_rate,0.004581444
away_offense_second_level_yards,0.0045795674
home_rolling_away_games,0.0045617064
home_defense_passing_downs_ppa,0.0045514917
home_defense_rushing_plays_success_rate,0.004547463
away_srs_rating,0.004535163
away_defense_ppa,0.0045272578
away_offense_power_success,0.0045087286
away_offense_passing_downs_success_rate,0.004482234
home_offense_passing_downs_ppa,0.004475688
home_defense_second_level_yards,0.0044614766
away_defense_standard_downs_success_rate,0.0044612703
away_defense_passing_plays_ppa,0.004454888
away_defense_open_field_yards,0.0044524376
home_defense_passing_plays_ppa,0.0044426676
home_defense_passing_plays_success_rate,0.004441556
away_offense_passing_plays_ppa,0.004438445
home_offense_passing_downs_success_rate,0.0044295043
home_offense_success_rate,0.004415963
betting_home_moneyline,0.0044049565
matchup_home_off_vs_away_def_sp,0.004402938
home_sp_special_teams,0.004399453
away_defense_rushing_plays_ppa,0.0043947757
home_offense_standard_downs_ppa,0.0043829447
home_rolling_point_diff,0.0043802243
away_rolling_away_points_allowed,0.0043579508
away_sp_offense,0.004355098
away_offense_rushing_plays_success_rate,0.0043549514
home_offense_stuff_rate,0.004352773
away_defense_passing_downs_ppa,0.0043478645
home_defense_stuff_rate,0.004347543
away_defense_success_rate,0.0043468964
away_offense_open_field_yards,0.004335987
away_rolling_loss_streak,0.004326696
away_defense_line_yards,0.004299682
away_defense_second_level_yards,0.0042977505
